EXCHANGE,TOKEN,SYMBOL,PRODUCT,ORDER_TYPE,TRANSACTION_TYPE,TRADED_QUANTITY,EXCHANGE_ORDER_ID,ORDER_ID,EXCHANGE_TIME,TIME_IN_MICRO,TRADED_PRICE,TRADE_ID
NSE_EQ,2885,RELIANCE,I,L,S,1,1200000000201513,180925000009564,25-Sep-2018 09:16:56,1537847216636500,1237.75,50040968
NSE_EQ,15083,ADANIPORTS,D,L,S,3,1000000010589536,180925000226634,25-Sep-2018 14:18:22,1537867157305997,336.3,4546130
NSE_EQ,1023,FEDERALBNK,I,L,B,1,1100000000133858,180925000005988,25-Sep-2018 09:15:26,1537847301501513,70.9,25072793
NSE_EQ,30125,IBULHSGFIN,I,L,S,1,1100000007719507,180925000211260,25-Sep-2018 13:57:21,1537864908979866,857.5,28596602
NSE_EQ,11184,IDFCBANK,I,L,B,1,1100000008180206,180925000223865,25-Sep-2018 14:14:58,1537865476739777,37.3,28738612
NSE_EQ,3906,CAPLIPOINT,D,L,B,1,1000000000132288,180925000005904,25-Sep-2018 09:15:24,1537847301501608,429.5,71615
NSE_EQ,15083,ADANIPORTS,I,L,B,1,1000000000105938,180925000004791,25-Sep-2018 09:15:06,1537854584040779,339.8,1925522
NSE_EQ,17069,UJJIVAN,I,L,B,1,1300000000112614,180925000005907,25-Sep-2018 09:15:24,1537847275454316,269.4,75057149
NSE_EQ,14732,DLF,I,L,B,2,1000000008917172,180925000196141,25-Sep-2018 13:32:10,1537862536993613,172.9,3376295
NSE_EQ,3456,TATAMOTORS,I,L,B,4,1300000001015133,180925000039858,25-Sep-2018 09:40:14,1537848670425626,236.6,75342941
NSE_EQ,1023,FEDERALBNK,I,L,S,1,1100000004764581,180925000138061,25-Sep-2018 11:42:35,1537859728501548,71.6,27509121
NSE_EQ,14732,DLF,I,L,S,1,1000000001397122,180925000039860,25-Sep-2018 09:40:14,1537848720300528,182.6,457965
NSE_EQ,11184,IDFCBANK,I,L,S,3,1100000006370896,180925000179018,25-Sep-2018 13:09:25,1537865090237647,37.5,28644773
NSE_EQ,2885,RELIANCE,I,L,B,3,1200000004959250,180925000154257,25-Sep-2018 12:22:23,1537862782345783,1209.7,52563576
NSE_EQ,17069,UJJIVAN,I,L,B,1,1300000002749850,180925000103708,25-Sep-2018 10:51:25,1537855079579481,269.7,76289969
NSE_EQ,11184,IDFCBANK,I,L,S,1,1100000008392220,180925000228488,25-Sep-2018 14:21:25,1537865720516068,37.5,28792236
NSE_EQ,2031,M&M,I,L,B,2,1200000000135163,180925000006722,25-Sep-2018 09:15:42,1537847212262437,883.6,50026924
NSE_EQ,2885,RELIANCE,I,L,S,3,1200000006459783,180925000198838,25-Sep-2018 13:36:33,1537864999137270,1212.7,52934345
NSE_EQ,14732,DLF,I,L,B,1,1000000000134197,180925000005997,25-Sep-2018 09:15:26,1537848605037203,181.7,424448

